[12, 8, 3] [-4, -3]
[21, 8, 3] [-3, -7]
[24, 8, 3] [-8, -3]
[28, 8, 3] [-4, -7]
[33, 8, 3] [-3, -11]
[40, 8, 2] [8, 5]
[44, 8, 3] [-4, -11]
[56, 8, 3] [-8, -7]
[57, 8, 3] [-3, -19]
[65, 8, 2] [5, 13]
[69, 8, 3] [-3, -23]
[76, 8, 3] [-4, -19]
[77, 8, 3] [-7, -11]
[85, 8, 2] [5, 17]
[88, 8, 3] [-8, -11]
[92, 8, 3] [-4, -23]
[93, 8, 3] [-3, -31]
[104, 8, 2] [8, 13]
[124, 8, 3] [-4, -31]
[129, 8, 3] [-3, -43]
[133, 8, 3] [-7, -19]
[136, 4, 2] [8, 17]
[141, 8, 3] [-3, -47]
[145, 4, 2] [5, 29]
[152, 8, 3] [-8, -19]
[161, 8, 3] [-7, -23]
[172, 8, 3] [-4, -43]
[177, 8, 3] [-3, -59]
[184, 8, 3] [-8, -23]
[185, 8, 2] [5, 37]
[188, 8, 3] [-4, -47]
[201, 8, 3] [-3, -67]
[205, 4, 2] [5, 41]
[209, 8, 3] [-11, -19]
[213, 8, 3] [-3, -71]
[217, 8, 3] [-7, -31]
[221, 4, 2] [13, 17]
[232, 8, 2] [8, 29]
[236, 8, 3] [-4, -59]
[237, 8, 3] [-3, -79]
[248, 8, 3] [-8, -31]
[249, 8, 3] [-3, -83]
[253, 8, 3] [-11, -23]
[265, 8, 2] [5, 53]
[268, 8, 3] [-4, -67]
[284, 8, 3] [-4, -71]
[296, 8, 2] [8, 37]
[301, 8, 3] [-7, -43]
[305, 4, 2] [5, 61]
[309, 8, 3] [-3, -103]
[316, 8, 3] [-4, -79]
[321, 8, 3] [-3, -107]
[328, 4, 2] [8, 41]
[329, 8, 3] [-7, -47]
[332, 8, 3] [-4, -83]
[341, 8, 3] [-11, -31]
[344, 8, 3] [-8, -43]
[365, 8, 2] [5, 73]
[376, 8, 3] [-8, -47]
[377, 4, 2] [13, 29]
[381, 8, 3] [-3, -127]
[393, 8, 3] [-3, -131]
[412, 8, 3] [-4, -103]
[413, 8, 3] [-7, -59]
[417, 8, 3] [-3, -139]
[424, 8, 2] [8, 53]
[428, 8, 3] [-4, -107]
[437, 8, 3] [-19, -23]
[445, 4, 2] [5, 89]
[453, 8, 3] [-3, -151]
[469, 8, 3] [-7, -67]
[472, 8, 3] [-8, -59]
[473, 8, 3] [-11, -43]
[481, 8, 2] [13, 37]
[485, 8, 2] [5, 97]
[488, 8, 2] [8, 61]
[489, 8, 3] [-3, -163]
[493, 8, 2] [17, 29]
[497, 8, 3] [-7, -71]
[501, 8, 3] [-3, -167]
[505, 4, 2] [5, 101]
[508, 8, 3] [-4, -127]
[517, 8, 3] [-11, -47]
[524, 8, 3] [-4, -131]
[533, 8, 2] [13, 41]
[536, 8, 3] [-8, -67]
[537, 8, 3] [-3, -179]
[545, 4, 2] [5, 109]
[553, 8, 3] [-7, -79]
[556, 8, 3] [-4, -139]
[565, 8, 2] [5, 113]
[568, 8, 3] [-8, -71]
[573, 8, 3] [-3, -191]
[581, 8, 3] [-7, -83]
[584, 4, 2] [8, 73]
[589, 8, 3] [-19, -31]
[597, 8, 3] [-3, -199]
[604, 8, 3] [-4, -151]
[629, 8, 2] [17, 37]
[632, 8, 3] [-8, -79]
[633, 8, 3] [-3, -211]
[649, 8, 3] [-11, -59]
[652, 8, 3] [-4, -163]
[664, 8, 3] [-8, -83]
[668, 8, 3] [-4, -167]
[669, 8, 3] [-3, -223]
[681, 8, 3] [-3, -227]
[685, 8, 2] [5, 137]
[689, 4, 2] [13, 53]
[697, 8, 2] [17, 41]
[712, 4, 2] [8, 89]
[713, 8, 3] [-23, -31]
[716, 8, 3] [-4, -179]
[717, 8, 3] [-3, -239]
[721, 8, 3] [-7, -103]
[737, 8, 3] [-11, -67]
[745, 4, 2] [5, 149]
[749, 8, 3] [-7, -107]
[753, 8, 3] [-3, -251]
[764, 8, 3] [-4, -191]
[776, 4, 2] [8, 97]
[781, 8, 3] [-11, -71]
[785, 8, 2] [5, 157]
[789, 8, 3] [-3, -263]
[793, 4, 2] [13, 61]
[796, 8, 3] [-4, -199]
[808, 8, 2] [8, 101]
[813, 8, 3] [-3, -271]
[817, 8, 3] [-19, -43]
[824, 8, 3] [-8, -103]
