[60, 16, 13] [-4, -3, 5]
[105, 16, 11] [-3, 5, -7]
[120, 16, 11] [-8, -3, 5]
[140, 16, 13] [-4, 5, -7]
[156, 16, 11] [-4, -3, 13]
[165, 16, 13] [-3, 5, -11]
[168, 16, 13] [8, -3, -7]
[204, 16, 13] [-4, -3, 17]
[220, 16, 11] [-4, 5, -11]
[264, 16, 11] [8, -3, -11]
[273, 16, 13] [-3, -7, 13]
[280, 16, 11] [-8, 5, -7]
[285, 16, 13] [-3, 5, -19]
[312, 16, 13] [-8, -3, 13]
[345, 16, 11] [-3, 5, -23]
[348, 16, 13] [-4, -3, 29]
[357, 16, 11] [-3, -7, 17]
[364, 16, 13] [-4, -7, 13]
[380, 16, 11] [-4, 5, -19]
[385, 16, 13] [5, -7, -11]
[408, 16, 13] [-8, -3, 17]
[429, 16, 13] [-3, -11, 13]
[440, 16, 13] [-8, 5, -11]
[444, 16, 11] [-4, -3, 37]
[456, 16, 11] [8, -3, -19]
[460, 16, 13] [-4, 5, -23]
[465, 16, 13] [-3, 5, -31]
[476, 16, 13] [-4, -7, 17]
[492, 16, 13] [-4, -3, 41]
[520, 8, 5] [8, 5, 13]
[552, 16, 13] [8, -3, -23]
[561, 16, 11] [-3, -11, 17]
[572, 16, 13] [-4, -11, 13]
[609, 16, 13] [-3, -7, 29]
[616, 16, 13] [8, -7, -11]
[620, 16, 11] [-4, 5, -31]
[636, 16, 13] [-4, -3, 53]
[645, 16, 11] [-3, 5, -43]
[665, 16, 13] [5, -7, -19]
[680, 16, 10] [8, 5, 17]
[696, 16, 11] [-8, -3, 29]
[705, 16, 11] [-3, 5, -47]
[728, 16, 11] [-8, -7, 13]
[732, 16, 11] [-4, -3, 61]
[741, 16, 13] [-3, 13, -19]
[744, 16, 13] [8, -3, -31]
[748, 16, 13] [-4, -11, 17]
[760, 16, 13] [-8, 5, -19]
[777, 16, 11] [-3, -7, 37]
[805, 16, 11] [5, -7, -23]
[812, 16, 11] [-4, -7, 29]
[860, 16, 13] [-4, 5, -43]
[861, 16, 11] [-3, -7, 41]
[876, 16, 11] [-4, -3, 73]
