[780, 32, 48] [-4, -3, 5, 13]
[840, 32, 48] [8, -3, 5, -7]
[924, 32, 50] [-4, -3, -7, -11]
[1020, 32, 46] [-4, -3, 5, 17]
[1320, 32, 48] [8, -3, 5, -11]
[1365, 32, 48] [-3, 5, -7, 13]
[1560, 32, 48] [-8, -3, 5, 13]
[1596, 32, 49] [-4, -3, -7, -19]
[1740, 32, 48] [-4, -3, 5, 29]
[1785, 32, 48] [-3, 5, -7, 17]
[1820, 32, 46] [-4, 5, -7, 13]
[1848, 32, 49] [-8, -3, -7, -11]
[1932, 32, 50] [-4, -3, -7, -23]
[2040, 32, 48] [-8, -3, 5, 17]
[2145, 32, 46] [-3, 5, -11, 13]
[2184, 32, 46] [8, -3, -7, 13]
[2220, 32, 48] [-4, -3, 5, 37]
[2280, 32, 48] [8, -3, 5, -19]
[2380, 32, 46] [-4, 5, -7, 17]
[2460, 32, 48] [-4, -3, 5, 41]
[2508, 32, 50] [-4, -3, -11, -19]
[2604, 32, 49] [-4, -3, -7, -31]
[2652, 32, 48] [-4, -3, 13, 17]
[2760, 32, 48] [8, -3, 5, -23]
[2805, 32, 48] [-3, 5, -11, 17]
[2856, 32, 48] [8, -3, -7, 17]
[2860, 32, 48] [-4, 5, -11, 13]
[3036, 32, 49] [-4, -3, -11, -23]
[3045, 32, 48] [-3, 5, -7, 29]
[3080, 32, 46] [8, 5, -7, -11]
[3180, 32, 46] [-4, -3, 5, 53]
[3192, 32, 49] [-8, -3, -7, -19]
[3432, 32, 48] [8, -3, -11, 13]
[3480, 32, 46] [-8, -3, 5, 29]
[3612, 32, 49] [-4, -3, -7, -43]
[3640, 32, 48] [-8, 5, -7, 13]
[3660, 32, 48] [-4, -3, 5, 61]
[3705, 32, 46] [-3, 5, 13, -19]
[3720, 32, 46] [8, -3, 5, -31]
[3740, 32, 48] [-4, 5, -11, 17]
[3864, 32, 49] [-8, -3, -7, -23]
[3885, 32, 48] [-3, 5, -7, 37]
[3948, 32, 49] [-4, -3, -7, -47]
[4060, 32, 48] [-4, 5, -7, 29]
[4092, 32, 49] [-4, -3, -11, -31]
[4305, 32, 46] [-3, 5, -7, 41]
[4380, 32, 48] [-4, -3, 5, 73]
[4389, 32, 49] [-3, -7, -11, -19]
[4440, 32, 48] [-8, -3, 5, 37]
[4485, 32, 48] [-3, 5, 13, -23]
[4488, 32, 46] [8, -3, -11, 17]
[4524, 32, 48] [-4, -3, 13, 29]
[4641, 32, 48] [-3, -7, 13, 17]
[4760, 32, 48] [-8, 5, -7, 17]
[4785, 32, 48] [-3, 5, -11, 29]
[4845, 32, 46] [-3, 5, 17, -19]
[4872, 32, 46] [8, -3, -7, 29]
[4920, 32, 48] [-8, -3, 5, 41]
[4940, 32, 48] [-4, 5, 13, -19]
[4956, 32, 49] [-4, -3, -7, -59]
[5005, 32, 48] [5, -7, -11, 13]
[5016, 32, 50] [-8, -3, -11, -19]
[5160, 32, 48] [8, -3, 5, -43]
[5180, 32, 48] [-4, 5, -7, 37]
[5208, 32, 49] [-8, -3, -7, -31]
[5244, 32, 50] [-4, -3, -19, -23]
[5304, 32, 48] [-8, -3, 13, 17]
[5313, 32, 49] [-3, -7, -11, -23]
[5320, 32, 46] [8, 5, -7, -19]
[5340, 32, 48] [-4, -3, 5, 89]
[5565, 32, 48] [-3, 5, -7, 53]
[5628, 32, 49] [-4, -3, -7, -67]
[5640, 32, 48] [8, -3, 5, -47]
[5676, 32, 50] [-4, -3, -11, -43]
[5720, 32, 48] [-8, 5, -11, 13]
[5740, 32, 48] [-4, 5, -7, 41]
[5772, 32, 48] [-4, -3, 13, 37]
[5820, 32, 48] [-4, -3, 5, 97]
[5852, 32, 49] [-4, -7, -11, -19]
[5865, 32, 48] [-3, 5, 17, -23]
[5916, 32, 46] [-4, -3, 17, 29]
[5928, 32, 48] [8, -3, 13, -19]
[5964, 32, 50] [-4, -3, -7, -71]
[5980, 32, 48] [-4, 5, 13, -23]
[6045, 32, 46] [-3, 5, 13, -31]
[6060, 32, 48] [-4, -3, 5, 101]
[6072, 32, 50] [-8, -3, -11, -23]
[6105, 32, 48] [-3, 5, -11, 37]
[6188, 32, 48] [-4, -7, 13, 17]
[6204, 32, 49] [-4, -3, -11, -47]
[6216, 32, 48] [8, -3, -7, 37]
[6360, 32, 48] [-8, -3, 5, 53]
[6380, 32, 48] [-4, 5, -11, 29]
[6396, 32, 48] [-4, -3, 13, 41]
[6405, 32, 48] [-3, 5, -7, 61]
[6440, 32, 48] [8, 5, -7, -23]
[6460, 32, 48] [-4, 5, 17, -19]
[6540, 32, 48] [-4, -3, 5, 109]
[6545, 32, 48] [5, -7, -11, 17]
[6636, 32, 49] [-4, -3, -7, -79]
[6765, 32, 48] [-3, 5, -11, 41]
[6780, 32, 46] [-4, -3, 5, 113]
[6888, 32, 48] [8, -3, -7, 41]
[6972, 32, 49] [-4, -3, -7, -83]
[7068, 32, 49] [-4, -3, -19, -31]
[7080, 32, 48] [8, -3, 5, -59]
[7084, 32, 49] [-4, -7, -11, -23]
[7161, 32, 49] [-3, -7, -11, -31]
[7176, 32, 48] [8, -3, 13, -23]
[7224, 32, 50] [-8, -3, -7, -43]
[7293, 32, 48] [-3, -11, 13, 17]
[7320, 32, 48] [-8, -3, 5, 61]
[7420, 32, 48] [-4, 5, -7, 53]
[7480, 32, 46] [-8, 5, -11, 17]
[7548, 32, 48] [-4, -3, 17, 37]
[7656, 32, 48] [8, -3, -11, 29]
[7665, 32, 48] [-3, 5, -7, 73]
[7752, 32, 48] [8, -3, 17, -19]
[7788, 32, 49] [-4, -3, -11, -59]
[7820, 32, 46] [-4, 5, 17, -23]
[7896, 32, 50] [-8, -3, -7, -47]
[7905, 32, 48] [-3, 5, 17, -31]
[7917, 32, 48] [-3, -7, 13, 29]
[8008, 32, 48] [8, -7, -11, 13]
[8040, 32, 48] [8, -3, 5, -67]
[8060, 32, 48] [-4, 5, 13, -31]
[8120, 32, 48] [-8, 5, -7, 29]
[8140, 32, 48] [-4, 5, -11, 37]
[8184, 32, 49] [-8, -3, -11, -31]
[8220, 32, 46] [-4, -3, 5, 137]
[8265, 32, 48] [-3, 5, -19, 29]
[8268, 32, 48] [-4, -3, 13, 53]
[8360, 32, 48] [8, 5, -11, -19]
[8364, 32, 46] [-4, -3, 17, 41]
[8385, 32, 48] [-3, 5, 13, -43]
[8520, 32, 46] [8, -3, 5, -71]
[8540, 32, 48] [-4, 5, -7, 61]
[8556, 32, 49] [-4, -3, -23, -31]
[8645, 32, 48] [5, -7, 13, -19]
[8652, 32, 49] [-4, -3, -7, -103]
[8680, 32, 48] [8, 5, -7, -31]
[8745, 32, 46] [-3, 5, -11, 53]
[8760, 32, 48] [-8, -3, 5, 73]
[8840, 32, 45] [8, 5, 13, 17]
[8844, 32, 49] [-4, -3, -11, -67]
[8904, 32, 46] [8, -3, -7, 53]
[8940, 32, 48] [-4, -3, 5, 149]
[8988, 32, 50] [-4, -3, -7, -107]
[9020, 32, 48] [-4, 5, -11, 41]
[9048, 32, 48] [-8, -3, 13, 29]
[9165, 32, 48] [-3, 5, 13, -47]
[9177, 32, 49] [-3, -7, -19, -23]
[9345, 32, 46] [-3, 5, -7, 89]
[9372, 32, 49] [-4, -3, -11, -71]
[9384, 32, 48] [8, -3, 17, -23]
[9420, 32, 48] [-4, -3, 5, 157]
[9480, 32, 46] [8, -3, 5, -79]
[9516, 32, 46] [-4, -3, 13, 61]
[9548, 32, 50] [-4, -7, -11, -31]
[9672, 32, 46] [8, -3, 13, -31]
[9724, 32, 48] [-4, -11, 13, 17]
[9768, 32, 48] [8, -3, -11, 37]
[9804, 32, 49] [-4, -3, -19, -43]
[9880, 32, 48] [-8, 5, 13, -19]
[9912, 32, 49] [-8, -3, -7, -59]
[9933, 32, 49] [-3, -7, -11, -43]
[9960, 32, 48] [8, -3, 5, -83]
[10005, 32, 48] [-3, 5, -23, 29]
[10065, 32, 48] [-3, 5, -11, 61]
[10101, 32, 48] [-3, -7, 13, 37]
[10120, 32, 46] [8, 5, -11, -23]
[10185, 32, 48] [-3, 5, -7, 97]
[10220, 32, 46] [-4, 5, -7, 73]
[10248, 32, 46] [8, -3, -7, 61]
[10353, 32, 48] [-3, -7, 17, 29]
[10360, 32, 48] [-8, 5, -7, 37]
[10380, 32, 46] [-4, -3, 5, 173]
[10428, 32, 50] [-4, -3, -11, -79]
[10465, 32, 48] [5, -7, 13, -23]
[10472, 32, 48] [8, -7, -11, 17]
[10488, 32, 49] [-8, -3, -19, -23]
[10540, 32, 48] [-4, 5, 17, -31]
