[4620, 64, 264] [-4, -3, 5, -7, -11]
[7980, 64, 265] [-4, -3, 5, -7, -19]
[9240, 64, 266] [-8, -3, 5, -7, -11]
[9660, 64, 266] [-4, -3, 5, -7, -23]
[10920, 64, 263] [8, -3, 5, -7, 13]
[12012, 64, 264] [-4, -3, -7, -11, 13]
[12540, 64, 266] [-4, -3, 5, -11, -19]
[13020, 64, 265] [-4, -3, 5, -7, -31
[13260, 64, 263] [-4, -3, 5, 13, 17]	
[14280, 64, 263] [8, -3, 5, -7, 17]
[15180, 64, 264] [-4, -3, 5, -11, -23]
[15708, 64, 266] [-4, -3, -7, -11, 17]
[15960, 64, 266] [-8, -3, 5, -7, -19]
[17160, 64, 263] [8, -3, 5, -11, 13]
[18060, 64, 266] [-4, -3, 5, -7, -43]
[19320, 64, 264] [-8, -3, 5, -7, -23]
[19740, 64, 266] [-4, -3, 5, -7, -47]
[20460, 64, 266] [-4, -3, 5, -11, -31]
[20748, 64, 264] [-4, -3, -7, 13, -19]
[21945, 64, 264] [-3, 5, -7, -11, -19]
[22440, 64, 263] [8, -3, 5, -11, 17]
[22620, 64, 263] [-4, -3, 5, 13, 29]
[23205, 64, 263] [-3, 5, -7, 13, 17]
[24024, 64, 266] [-8, -3, -7, -11, 13]
[24360, 64, 263] [8, -3, 5, -7, 29]
[24780, 64, 264] [-4, -3, 5, -7, -59]
[25080, 64, 264] [-8, -3, 5, -11, -19]
[25116, 64, 266] [-4, -3, -7, 13, -23]
[26040, 64, 266] [-8, -3, 5, -7, -31]
[26220, 64, 264] [-4, -3, 5, -19, -23]
[26520, 64, 261] [-8, -3, 5, 13, 17]
[26565, 64, 266] [-3, 5, -7, -11, -23]
[26796, 64, 264] [-4, -3, -7, -11, 29]
[27132, 64, 265] [-4, -3, -7, 17, -19]
[28140, 64, 266] [-4, -3, 5, -7, -67]
[28380, 64, 264] [-4, -3, 5, -11, -43]
[28860, 64, 263] [-4, -3, 5, 13, 37]
[29260, 64, 266] [-4, 5, -7, -11, -19]
[29580, 64, 263] [-4, -3, 5, 17, 29]
[29640, 64, 263] [8, -3, 5, 13, -19]
[29820, 64, 264] [-4, -3, 5, -7, -71]
[30360, 64, 266] [-8, -3, 5, -11, -23]
[30940, 64, 263] [-4, 5, -7, 13, 17]
[31020, 64, 264] [-4, -3, 5, -11, -47]
[31080, 64, 263] [8, -3, 5, -7, 37
[31416, 64, 266] [-8, -3, -7, -11, 17]
[31980, 64, 261] [-4, -3, 5, 13, 41]
